,EAP,EAP,EAP,ECA&NA,ECA&NA,ECA&NA,LAC,LAC,LAC,MENA,MENA,MENA,SA&SSA,SA&SSA,SA&SSA
,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR
Overall,"-3.40%
(1.0)",<,"-3.82%
(1.125)","-4.29%
(1.0)",>,"-1.51%
(0.353)","-2.59%
(1.0)",<,"1.22%
(-0.470)","-1.53%
(1.0)",>,"-0.59%
(0.384)","-1.85%
(1.0)",<,"-2.50%
(1.356)"
Economic,"-4.42%
(1.0)",>,"-0.94%
(0.213)","-3.70%
(1.0)",>,"-1.49%
(0.403)","-2.83%
(1.0)",<,"0.85%
(-0.299)","-0.65%
(1.0)",<,"1.51%
(-2.321)","-2.03%
(1.0)",>,"-1.84%
(0.903)"
actual_flows,"-4.16%
(1.0)",>,"-0.45%
(0.107)","-4.73%
(1.0)",>,"-2.14%
(0.453)","-2.79%
(1.0)",>,"-0.13%
(0.048)","0.31%
(1.0)",<,"3.09%
(9.835)","-1.05%
(1.0)",<,"-2.70%
(2.568)"
restrictions,"-3.23%
(1.0)",>,"-0.55%
(0.171)","-2.45%
(1.0)",>,"-1.04%
(0.424)","-1.75%
(1.0)",<,"0.14%
(-0.081)","-3.26%
(1.0)",>,"-1.08%
(0.330)","-4.46%
(1.0)",>,"-2.04%
(0.458)"
Social,"-2.51%
(1.0)",>,"-2.27%
(0.901)","-2.91%
(1.0)",<,"0.22%
(-0.077)","-3.49%
(1.0)",<,"1.28%
(-0.368)","-1.71%
(1.0)",>,"-0.83%
(0.487)","-1.91%
(1.0)",>,"-0.61%
(0.319)"
personal_contact,"-1.24%
(1.0)",>,"-0.02%
(0.019)","-0.61%
(1.0)",>,"-0.17%
(0.274)","-0.35%
(1.0)",<,"0.20%
(-0.578)","-0.32%
(1.0)",<,"0.05%
(-0.147)","0.49%
(1.0)",<,"1.29%
(2.648)"
information_flows,"-4.35%
(1.0)",>,"-4.16%
(0.956)","-6.07%
(1.0)",>,"-1.31%
(0.216)","-4.09%
(1.0)",>,"-1.83%
(0.448)","-4.81%
(1.0)",>,"-1.00%
(0.208)","-5.20%
(1.0)",>,"-2.50%
(0.481)"
cultural_proximity,"-1.01%
(1.0)",<,"-2.47%
(2.448)","-3.11%
(1.0)",<,"0.44%
(-0.141)","-3.96%
(1.0)",<,"2.53%
(-0.639)","-4.10%
(1.0)",>,"-0.32%
(0.078)","9.45%
(1.0)",>,"1.32%
(0.140)"
Political,"-2.15%
(1.0)",<,"-6.04%
(2.806)","-5.51%
(1.0)",>,"-3.02%
(0.548)","-0.82%
(1.0)",<,"-0.98%
(1.202)","-1.59%
(1.0)",<,"-1.92%
(1.202)","-1.98%
(1.0)",<,"-2.09%
(1.056)"
AVERAGE,"-2.91%
(1.0)",,"-2.26%
(0.972)","-3.68%
(1.0)",,"-1.08%
(0.321)","-2.46%
(1.0)",,"0.38%
(0.459)","-1.93%
(1.0)",,"-0.09%
(1.666)","-0.92%
(1.0)",,"-1.28%
(1.103)"
