,EAP,EAP,EAP,ECA&NA,ECA&NA,ECA&NA,LAC,LAC,LAC,MENA,MENA,MENA,SA&SSA,SA&SSA,SA&SSA
,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR,~2006_CAGR,,2007~_CAGR
Overall,"-0.35%
(1.0)",<,"0.10%
(-0.274)","-0.23%
(1.0)",>,"-0.17%
(0.747)","-1.54%
(1.0)",>,"-0.50%
(0.324)","-1.18%
(1.0)",>,"-0.49%
(0.413)","-0.86%
(1.0)",>,"-0.82%
(0.951)"
Economic,"-1.49%
(1.0)",>,"-0.51%
(0.344)","-0.62%
(1.0)",<,"-0.78%
(1.265)","-1.80%
(1.0)",>,"-0.92%
(0.512)","-0.90%
(1.0)",>,"-0.25%
(0.274)","-0.86%
(1.0)",>,"-0.47%
(0.542)"
actual_flows,"-1.84%
(1.0)",>,"-0.93%
(0.506)","-0.67%
(1.0)",<,"-1.22%
(1.818)","-0.93%
(1.0)",>,"-0.25%
(0.267)","-1.73%
(1.0)",>,"-0.07%
(0.040)","-0.80%
(1.0)",<,"-1.20%
(1.497)"
restrictions,"-0.75%
(1.0)",>,"-0.16%
(0.208)","-1.15%
(1.0)",>,"-0.08%
(0.068)","-2.74%
(1.0)",>,"-0.08%
(0.030)","-0.99%
(1.0)",<,"0.22%
(-0.225)","-2.04%
(1.0)",>,"-1.19%
(0.585)"
Social,"-0.19%
(1.0)",>,"-0.04%
(0.201)","-0.19%
(1.0)",<,"-0.51%
(2.632)","-0.73%
(1.0)",<,"-1.66%
(2.274)","-0.42%
(1.0)",<,"0.35%
(-0.823)","-0.57%
(1.0)",>,"-0.43%
(0.759)"
personal_contact,"-0.18%
(1.0)",<,"0.08%
(-0.422)","-0.17%
(1.0)",<,"-0.18%
(1.035)","-0.71%
(1.0)",<,"0.02%
(-0.023)","-0.19%
(1.0)",<,"-0.26%
(1.321)","-0.60%
(1.0)",>,"-0.60%
(0.999)"
information_flows,"-0.24%
(1.0)",>,"-0.04%
(0.160)","-1.17%
(1.0)",>,"-0.93%
(0.791)","-1.92%
(1.0)",<,"1.25%
(-0.651)","-1.62%
(1.0)",<,"0.04%
(-0.023)","-0.74%
(1.0)",>,"-0.12%
(0.157)"
cultural_proximity,"-0.64%
(1.0)",>,"-0.43%
(0.679)","-0.34%
(1.0)",<,"-0.45%
(1.330)","-0.87%
(1.0)",<,"-3.52%
(4.064)","-1.04%
(1.0)",<,"-2.00%
(1.913)","-2.74%
(1.0)",>,"-0.20%
(0.072)"
Political,"-1.01%
(1.0)",>,"-0.53%
(0.526)","-0.34%
(1.0)",>,"-0.09%
(0.257)","-0.36%
(1.0)",<,"0.01%
(-0.028)","-0.42%
(1.0)",<,"0.57%
(-1.359)","-1.00%
(1.0)",<,"0.21%
(-0.211)"
AVERAGE,"-0.69%
(1.0)",,"-0.25%
(0.369)","-0.49%
(1.0)",,"-0.43%
(1.105)","-1.26%
(1.0)",,"-0.60%
(0.908)","-0.90%
(1.0)",,"-0.18%
(0.710)","-1.10%
(1.0)",,"-0.51%
(0.641)"
